,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Mónica Freyre,Sandra Montes de Oca,Karen Heitler,José Antonio Turueño,Andrei Jacinto,Adolfo Villaverde,Jesús Cabrera
,,,,"1. Operación Campo y seguimiento a costos
Proyectos","Procesar y controlar campo, de acuerdo a briefs/solicitudes de clientes tanto cuali
Entregar el perfil solicitado en los briefs recibidos y en su defecto, retroalimentar a cuentas y/o sugerir acciones alternativas antes de iniciar el proyecto
Desarrollo de proveedores de campo tanto cuali como cuanti
Apoyo y desarrollo a proyectos como small data, profiling
Lider del proceso de control y seguimiento de costos de los proyectos cuali y cuantis
Trabajar en conjunto con Finanzas para registro y planeación de pagos en horizontes de 2 a 8 semanas
","                                                                                                                                                                                                           Proporcionar la información pertinente al área de Operaciones para preparar el campo para cada proyecto 
Esclarecer oportunamente cualquier duda que surja de la informaión del brief/solicitud del cliente tanto del lado del cliente como de Operaciones 
Informar al cliente de cualquier desviación de lo acordado y facilitar acciones en caso de desvío  ","Proporcionar la información pertinente al área de Operciones para preparar el campo para cada proyecto
Esclarecer oportunamente cualquier duda que surja de la informaión del breif/solicitud del cliente tanto del lado del cliente como de Operaciones
Informar al cliente de cualquier desviación de lo acordado y facilitar acciones en caso de desvío
Definir proceso administrativo de proveedores cuanti
Clarificar roles de Ana Martínez
Evaluación continua de costos para mejora","Apoyar en el desarrollo de herramientas de análisis que fortalezcan la posición de Operaciones frente a los clientes, a través de servicios y productos diferenciados
Participa de discusiones y decisiones referentes a  seguimeinto de costos
","Retroalimentar oportunamente sobre proceso de campo en los proyectos manejados para ayudar a  corregir o reafirmar acciones
Contribuye con contenido relevante para fortalecer la propuesta de valor de operaciones con los clientes (Contribuir a traducir el diseño metodológico de los proyectos en herramientas claras para su ejecución en campo, como cuadernillos, rutas, guías de observación y formatos de registro y entrega. Revisar la congruencia entre los objetivos del estudio y las decisiones operativas de reclutamiento, distribución territorial, recorridos y levantamiento, identificando oportunamente concentraciones, vacíos de información o prácticas que puedan limitar la calidad y diversidad de la evidencia. Retroalimentar a Operaciones sobre la calidad y utilidad analítica de la información obtenida en campo, proponiendo ajustes que permitan mejorar los levantamientos y la ejecución de proyectos posteriores. Contribuir al desarrollo de herramientas y contenidos que comuniquen a los clientes el valor de los procesos operativos y de servicios complementarios como Profiling, Small Data y otras alternativas de levantamiento.)","Ejecutar pagos a proveedores de campo en función de retro de proyectos (por devíos, calidad, cuotas incompletas) por parte de operaciones cuali y cuanti
Participar en las discusiones y decisiones referentes al control de costos de proyectos","Faciitar proceso de soluciones para la mejora continua del proceso, a través de las reuniones de ENFOQUE y en las situaciones requeridas"
,,,,2. Pipeline Innovación y Go To Market,"Trabajar en conjunto sobre las innovaciones correspondientes a operaciones
Dar input continuo para  mejoramiento del proceso de operaciones y creacion de servicios a clientes
Operar los nuevos servicios que se lancen al mercado","Apoyar en la estrategia de Go-to-Market en las iniciativas dirigidas a los clientes
Dar retroalimentación sobre hallazgos claros de oportunidades o mejoras dentro del portafolio de clientes
Aprovechar las herramientas internas (Meaningful) para desarrollar mejores materiales para los clentes (credenciales, propuestas)",Trabajar en conjunto para desarrollar la estrategia de los estudios cuantitativos,"Desarrollar iniciativas (aplicaciones, servicios), basados en: situacion de la industria; requerimientos de clientes; ambas con miras a reafirmar nuestro expertise en el conocimiento profundo del consumidor
Definir, junto con cuentas el plan de GO-to-MARKET
Presentar y dar seguimiento al plan de Innovación","Contribuir con el desarrollo de contenidos que ayuden a fortalecer la propuesta de valor sobre expertos en el conocimiento del consumidor y otras estrategias (Identificar, a partir de los proyectos y las necesidades recurrentes de los clientes, oportunidades para desarrollar nuevas herramientas, metodologías y productos de conocimiento.
Contribuir al diseño y desarrollo de modelos, matrices, manuales, bites y otros recursos que conviertan los aprendizajes de los estudios en soluciones aplicables y diferenciadoras para la agencia.
Apoyar la construcción de los contenidos necesarios para presentar estas iniciativas dentro del plan de Go-to-Market, explicando con claridad qué necesidad atienden, cómo se aplican y qué valor entregan al cliente.)","Evaluar en su caso, aquellas iniciativas que requieran inversión, a través del ROI y/o potencial del negocio","Seguimniento y discusión del proceso y las iniciativas de innovación
Apoyar con información externa en la red provokers para fortalecer el pipeline
Punto de contacto para apoyo en el desarrollo de las iniciativas en la red provokers
"
,,,,3. Dirección de servicio al clientes y desarrollo de negocios,">> ¿es viable// cómo lo ejecutamos? >>                                                                                                                                              Retroalimentar sobre el alcance del campo tanto cuali como cuanti para el desarrollo de propuestas
Resolver dudas o inquietudes por parte de los clientes en los briefs
Participar en los kickoffs complejos de reclutar
Anticipar cualquier duda o desacuerdo con clientes en la etapa de propuesta o proyecto
Aportar información de informacion para robustecer las propuestas, según sea el caso",">> ¿Dónde está la oportunidad y qué necesita el cliente? >>   5 grandes responsabilidades   (1. gestion de demanda comercial (Dirigir el funnel comercial que incluye: Generación de demanda.Desarrollo del funnel.Priorización de oportunidades.Reactivación de clientes.Desarrollo de nuevos clientes.Seguimiento de oportunidades.Conversión de propuestas) 2.- Client Intelligence (convertir la relación cotidiana en oportunidades //qué pide? qué deja de pedir? qué metodologías busca?? qué le ofrece la competencia??) , 3.- Client Journey (guardiana de la experiencia del cliente a lo largo de todo el journey >>asegurar una experiencia consistente del cliente en los distintos puntos de contacto con PH/PVKS, conectando las áreas internas para que la promesa comercial, la experiencia de servicio y la entrega final sean coherentes., 4.- Hub de integracion de lo que necesita el cliente (integracion de capacidades al rededor de una oportunidad de cliente >> Dirige ransversalmente a las diferentes áreas de Phenoma alrededor de las necesidades del cliente, asegurando claridad de brief, alineación de expectativas, viabilidad de respuesta, integración metodológica y consistencia de la propuesta de valor.), 5.- gestion de relacion, mejora y continuidad    >> Transformar la experiencia y retroalimentación de clientes en aprendizaje interno para mejorar procesos, propuestas de valor, metodologías, contenidos y modelo de servicio.)                                                                                                                                                                  ",">>Necesitamos evidencias/metodologias cuantis en lo que esta pidiendo el cliente??>>                                                     Responsable del desarrollo de todas las propuestas referentes a estudios cuantitativos
Transmitir el brief de forma correcta a los partners tanto de campo como de análisis para desarrollar propuestas de acuerdo a las necesidades de los clientes
Respetar los tiempos de elaboración de propuestas y del proceso de campo y análisis de los proyectos en curso
Definir la estrategia a corto y largo plazo sobre la perspectiva de los estudios cuantitativos en PhenomaProvokers
Evaluar constantemente iniciativas que lleven a tener mejores márgenes en los proyectos
Tomar mejores prácticas dentro de la red regional Provokers ",">>¿Qué nuevas soluciones/caminos podemos ofrecer?>>         Colaborar estrechamente con Karen para desarrollar la identidad y propuesta de valor de los estudios cuantitativos
Participar tanto en la preparación de propuestas como en la presentación final con clientes",">>¿Qué conocimientos/ recursos/ conocimiento de el consumidor nos puede diferencia frente al cliente en el desarrollo de propuestas y en el funnel de contacto con cliente?>>                                                                                                                                       Apoyar con el desarrollo de contenido para robustecer propuestas y presentaciones finales con clientes, tanto en estudios cualitativos como cuantitativos cuando sea necesario (Contribuir a la interpretación estratégica de briefs y solicitudes, identificando el problema que necesita resolver el cliente, las decisiones que deberá tomar y los conocimientos necesarios para responderlas.
Apoyar el desarrollo de propuestas cualitativas, cuantitativas y mixtas mediante la construcción del enfoque, la narrativa, las herramientas metodológicas y los entregables que permitan presentar una respuesta diferenciada y relevante.
Desarrollar contenidos para los distintos puntos de contacto con el cliente —retrobriefs, propuestas, presentaciones, entregas parciales y reportes finales— incorporando aprendizajes previos, conocimiento de las personas y evidencia contextual cuando aporte valor a la conversación.)",>> ¿fue rentable? >>  función administrativa/ operativa de las cuentas                                                                                                                                                                       Informar sobre posibles desviaciones entre costos presupuestados vs efectivos tanto en estudios cualitativos como cuantitativos  - Coordinar en conjunto Politicas de pago generales a cada cliente y del proyecto >> condiciones para los distintos clientes -,">> DUDA >>   implementacion de nuevos negocios/ clientes >> qué y cómo para que servicio a clientes lleve a la práctica                                                                                                                                 Seguimiento al desarrollo de ventas mensual y contribuir con acciones y acuerdos para potencializar el negocio.
Responsable de la definición y seguimiento al  proceso de captación de nuevos clientes"
,,,,"4. Proceso de análisis y  robustecer los contenidos a lo largo de los diferentes puntos de contacto con los clientes, agregar valor/contenido a los cuantitativo  (conocemos a las personas) VISIÓN DE ANÁLISIS Y CONTENIDO ESTRATÉGICO (descripción 'Convertir la evidencia de los proyectos en conocimiento relevante sobre las personas y sus decisiones, elevando la profundidad del análisis y la calidad de los contenidos que recibe el cliente desde la propuesta hasta la entrega final.')
","Proveer y apoyar con información de operaciones para el desarrollo de contenido referente al expertise sobre conocimiento del consumidor
Ayudar a potencializar herramientas como Profiling a través de la herramienta de Meaningful (Proporcionar información relevante del proceso de campo para fortalecer el análisis de los proyectos: incidencias, condiciones de levantamiento, características de los participantes y aprendizajes operativos que ayuden a interpretar la evidencia. Identificar oportunidades para enriquecer los proyectos mediante herramientas o servicios complementarios, como Profiling, Small Data y otros recursos operativos disponibles.)
","Coordinar junto con Andrei contenidos relevantes para los clientes con referencia a propuestas e información de engagement (Compartir el contexto comercial, los antecedentes de la relación y la necesidad específica detrás de cada solicitud, para orientar el desarrollo de propuestas y contenidos relevantes para el cliente. Coordinar con Andrei la construcción de propuestas estratégicas y otros contenidos del customer journey, asegurando que respondan a la oportunidad de negocio, recuperen el conocimiento acumulado del cliente y fortalezcan la propuesta de valor de la agencia).","Coordinar junto con Andrei contenidos relevantes para los clientes con referencia a propuestas e información de engagement
Apoyar para robustecer el contenido de los estudios cuanti, según sea el caso (Coordinar con Andrei la integración del conocimiento del consumidor en los estudios cuantitativos, desde la definición del enfoque y las variables de análisis hasta la interpretación y presentación de los resultados. Compartir la lógica metodológica, los hallazgos estadísticos y los alcances de la evidencia cuantitativa para desarrollar explicaciones que conecten los resultados con las características, motivaciones y contextos de las personas según sea al caso.)","Coordinar y apoyar el desarrollo de contenidos en todos los puntos de contacto con los clientes (Coordinar con Andrei la identificación y el desarrollo de modelos, herramientas de análisis y contenidos breves que conviertan los aprendizajes de los estudios en recursos aplicables para los clientes. Orientar estos desarrollos de acuerdo con las prioridades de innovación de la agencia, su potencial para fortalecer la oferta de servicios y las oportunidades para incorporarlos en propuestas, entregables y acciones de Go-to-Market.)","Desarrollar contenidos diferenciadores a lo largo del customer journey, desde el primer contacto (retro brief) hasta la entrega del reporte final
Desarrollo de contenidos que refuercen el expertise del equipo sobre el conocimiento del consumidor y logren incrementar el engagement con los clientes
Guardian de la plataforma de IA Meaninful
Visión estratégica para la homologación de contenido (Impulsar una cultura de análisis dentro de la agencia mediante el desarrollo de criterios, herramientas y prácticas que ayuden a los equipos a convertir la evidencia de los proyectos en conclusiones relevantes, sustentadas y accionables para los clientes. Desarrollar contenidos estratégicos a lo largo de los diferentes puntos de contacto con el cliente, desde el retrobrief y la propuesta hasta los entregables, talleres y presentaciones finales. Contribuir a que los estudios cualitativos y cuantitativos incorporen una comprensión más profunda de las personas, integrando contexto, motivaciones y significados que ayuden a explicar los resultados y sus implicaciones para el negocio. Promover el desarrollo de modelos, matrices, manuales, bites y otros recursos que faciliten la aplicación de los aprendizajes y fortalezcan las capacidades analíticas de la agencia. Liderar el uso de Meaningful y otras herramientas de IA, estableciendo buenas prácticas para la investigación previa, el análisis y la construcción de contenidos.)",N/A,"Traer temas relevantes a la mesa para integrarlos dentro del plan de contenidos, ya sea de interés general o los referentes a la red Provokers
Conocer y apoyar el plan de generación de contenidos, según sea el caso (Identificar y compartir tendencias, conocimientos y buenas prácticas de la red Provokers que puedan enriquecer el análisis de los proyectos y ampliar los contenidos disponibles para los clientes. Apoyar la integración de estos aprendizajes en el plan de contenidos y facilitar su difusión y aprovechamiento dentro de la agencia.)"
,,,,5. Operación proyectos cuantitativos,Coordinar con Ana Martinez y Karen Heitler la integración y seguimiento de los costos de los proyectos cuantitativos,Colaborar en la definición de metodologías y preparación de propuestas en estudios cuali-cuantis,"Definir e Implementar la estrategia de la unidad de estudios cuantitativos
Preparar las propuestas de estudios cuantitativos de la agencia
Definir y alinear procesos administrativos y operativos con finanzas y Operaciones","Apoyar en la definición de la unidad de estudios cuantitativos
Definir estrategia de precios
Calcular precios de venta a cada una de las propuestas
","Colaborar para robustecer la información de los estudios a través de contenido relevante a cada proyecto (Colaborar (si lo requiere el caso) desde la definición del proyecto cuantitativo para incorporar preguntas, variables y fuentes de contexto que permitan comprender mejor a las personas detrás de los resultados. Apoyar la interpretación de los hallazgos cuantitativos mediante la identificación de patrones, perfiles, tensiones y posibles explicaciones que puedan profundizarse con información cualitativa, desk research o herramientas como Meaningful. Contribuir a la construcción de entregables que conecten los resultados estadísticos con sus implicaciones para el consumidor y el negocio, mediante narrativas, modelos y recursos visuales que faciliten su comprensión y aplicación.)","Monitorear cpc y cpp
Evaluar rentabilidad del área y contribuir con análisis pertinentes en favor del área","Detectar cualquier oportunidad dentro de la red provokers que beneficie al área de estudios cuantitativos, a través de cinergias, información, colaboraciones, etc.
"
,,,,6. Operación financiera y situación del negocio,"Tener actualizado el tracking de costos cualitativos y cuantitativos, así como la hoja de fechas de pagos a proveedores
Proporcionar la información integrada sobre precios de venta y costos correspndientes a cada cierre de mes
Visión operativa del negocio
Participar en decisiones financieras del negocio",Participar en el proceso de control de costos presupuestados vs efectivos y detectar mejoras en el seguimiento a propuestas integrando costos eficientes con precios competitivos,"Definir el proceso de cotrol de presupuestos a proyectos cuantitativos
Definir proceso de aprobación de pago a proveedores cuanti presupuesto vs efectivo
Detectar oportunidades de crecimiento a través del portafolio de estudios cantitativos
Monitorear mejoras en los costos operativos de proyectos (campo, programación y análisis)","Responsable de definir precios de venta, tanto en estudios cualitativos como cuantitativos
Establecer precios a nuevas iniciativas
Minimizar con su equipo variaciones de costo en los proyectos asignados
Visión operativa del negocio
Participar en decisiones financieras del negocio",Minimizar variaciones de costo en los proyectos a su cargo (N/A),"Responsable de integrar la información financiera y contable mensualmente
Definr con TU, MO, JE la estrategia de flujo de efectivo
Ejecutar procesos fiscales (definir que se entiende por procesos fiscales)
Pago de nómina
Ejecución de pagos a costos directos
Desarrollo de análisis pertinentes que anticipen situaciones financieras a futuro (Definir que implica este punto).  con la finalidad de evitar que en el ámbito de gestión se dupliquen o confundan las responsabilidades entre finanzas y dirección general. por lo demás creo que estan bien definidas y delimitadas las funciones del área ","Responsable de identificar puntos criticos dentro de la situación financiera del negocio y plantear alternativas de solución con el equio correspondiente
Compartir Best Práctices de la red Provokers
Enlace con Provokers LATAM para el manejo de información"
,,,,"7. Integración digital
(Google Workspace)","Evaluar y retroalimentar sobre las iniciativas presentadas
Participar en el equipo de implementación de las iniciativas",Participar en el equipo de implementación de las iniciativas,Participar en el equipo de implementación de las iniciativas,"Evaluar y retroalimentar sobre las iniciativas presentadas
Participar en el equipo de implementación de las iniciativas","Participar en el equipo de implementación de las iniciativas (Identificar necesidades y oportunidades de digitalización dentro de los procesos de análisis, desarrollo de contenidos y colaboración entre equipos.
Participar en la evaluación y prueba de herramientas digitales, aportando criterios sobre su utilidad para organizar evidencia, facilitar el trabajo colaborativo y mejorar la calidad de los entregables.
Contribuir al desarrollo de plantillas, prácticas de uso y materiales de capacitación que faciliten la adopción de Google Workspace, Meaningful y otras herramientas vinculadas con el análisis y la generación de contenidos.)",Evaluar financieramente las iniciatias de digitalización,"Identificar, desarrollar y ejecutar estrategias orientadas a digitalizar los procesos dentro de la agencia
"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
